,Gene,chromosome,start,CNV (lr) RNA,CNV (baf) RNA,Methylation RNA,CNV (lr) Protein,CNV (baf) Protein,Methylation Protein,CNV (lr) Phospho,CNV (baf) Phospho,Methylation Phospho,Mutation RNA,Mutation Protein,Mutation Phospho
1150,NEDD1,chr12,97301001,1,0,0,1,0,0,1,0,0,,,
1151,NOP2,chr12,6666029,1,0,0,1,0,0,1,0,0,,,
1152,NOS1,chr12,117645947,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1153,NR2C1,chr12,95414005,1,0,0,1,0,0,1,0,0,,,
1154,NR4A1,chr12,52416616,0,0,0,0,0,0,0,0,0,,,
1155,OAS3,chr12,113376157,1,0,0,0,0,0,0,0,0,,,
1156,ORAI1,chr12,122064455,0,0,0,0,0,0,0,0,0,,,
1157,OSBPL8,chr12,76745577,1,0,0,1,0,0,1,0,0,,,
1158,P2RX4,chr12,121647660,1,0,0,0,0,0,0,0,0,,,
1159,PA2G4,chr12,56498103,1,0,0,1,0,0,1,0,0,,,
1160,PAN2,chr12,56710007,1,0,0,1,0,0,1,0,0,,,
1161,PAWR,chr12,79968759,1,0,0,1,0,0,1,0,0,,,
1162,PCBP2,chr12,53835525,1,0,0,1,0,0,1,0,0,,,
1163,PEBP1,chr12,118573663,1,0,0,1,0,0,1,0,0,,,
1164,PEX5,chr12,7341281,1,0,0,1,0,0,1,0,0,,,
1165,PFDN5,chr12,53689075,1,0,0,0,0,0,0,0,0,,,
1166,PFKM,chr12,48498922,0,0,0,0,0,0,0,0,0,,,
1167,PHB2,chr12,7074490,1,0,0,1,0,0,1,0,0,,,
1168,PHC1,chr12,9066492,1,0,0,1,0,0,1,0,0,,,
1169,PITPNM2,chr12,123468027,1,0,0,1,0,0,1,0,0,,,
1170,PKP2,chr12,32943679,0,0,1,0,0,1,0,0,1,,,
1171,PLXNC1,chr12,94542499,0,0,0,0,0,0,0,0,0,,,
1172,POC1B,chr12,89813495,1,0,0,1,0,0,0,0,0,,,
1173,POLE,chr12,133200348,1,0,0,0,0,0,0,0,0,,,
1174,POLR3B,chr12,106751436,0,0,0,0,0,0,0,0,0,,,
1175,POP5,chr12,121016567,0,0,0,0,0,0,0,0,0,,,
1176,PPHLN1,chr12,42632249,1,0,0,1,0,0,1,0,0,,,
1177,PPM1H,chr12,63037762,1,0,0,1,0,0,1,0,0,,,
1178,PPP1CC,chr12,111157485,1,0,0,1,0,0,1,0,0,,,
1179,PPP1R12A,chr12,80167343,1,0,0,1,0,0,1,0,0,,,
1180,PRKAB1,chr12,120105558,1,0,0,1,0,0,0,0,0,,,
1181,PRKAG1,chr12,49396057,1,0,0,1,0,0,1,0,0,,,
1182,PTGES3,chr12,57057127,1,0,0,1,0,0,1,0,0,,,
1183,PTMS,chr12,6874682,1,0,1,1,0,1,1,0,1,,,
1184,PTPN11,chr12,112856155,1,0,0,1,0,0,1,0,0,,,
1185,PTPRO,chr12,15475331,0,0,0,0,0,0,0,0,0,,,
1186,PUS1,chr12,132413745,1,0,0,1,0,0,1,0,0,,,
1187,PWP1,chr12,108079509,1,0,0,1,0,0,1,0,0,,,
1188,PXN,chr12,120648250,0,0,0,0,0,0,0,0,0,,,
1189,R3HDM2,chr12,57643392,1,0,0,1,0,0,1,0,0,,,
1190,RAB21,chr12,72148654,1,0,0,1,0,0,1,0,0,,,
1191,RAB35,chr12,120532899,1,0,0,1,0,0,1,0,0,,,
1192,RAB3IP,chr12,70132461,1,0,0,1,0,0,1,0,0,,,
1193,RAB5B,chr12,56367697,1,0,0,1,0,0,1,0,0,,,
1194,RACGAP1,chr12,50370706,1,0,0,1,0,0,1,0,0,,,
1195,RAN,chr12,131356424,0,0,0,0,0,0,0,0,0,,,
1196,RAPGEF3,chr12,48128455,0,0,0,0,0,0,0,0,0,,,
1197,RASAL1,chr12,113536624,1,0,0,0,0,0,0,0,0,,,
1198,RBM19,chr12,114254543,1,0,0,1,0,0,1,0,0,,,
1199,RECQL,chr12,21621845,1,0,0,1,0,0,1,0,0,,,
1200,RERG,chr12,15260717,0,0,1,0,0,0,0,0,0,,,
1201,RIC8B,chr12,107168373,1,0,0,1,0,0,1,0,0,,,
1202,RILPL1,chr12,123955925,1,0,0,1,0,0,1,0,0,,,
1203,RILPL2,chr12,123899936,0,0,0,0,0,0,0,0,0,,,
1204,RNF10,chr12,120971283,1,0,0,1,0,0,1,0,0,,,
1205,RNF34,chr12,121837844,1,0,0,1,0,0,1,0,0,,,
1206,RPAP3,chr12,48057070,0,0,0,0,0,0,0,0,0,,,
1207,RPLP0,chr12,120634489,1,0,0,1,0,0,1,0,0,,,
1208,RPS26,chr12,56435637,1,0,0,0,0,0,0,0,0,,,
1209,RSRC2,chr12,122989190,1,0,0,1,0,0,1,0,0,,,
1210,SARNP,chr12,56146247,0,0,0,0,0,0,0,0,0,,,
1211,SBNO1,chr12,123773656,1,0,0,1,0,0,1,0,0,,,
1212,SCAF11,chr12,46312914,1,0,0,1,0,0,1,0,0,,,
1213,SCYL2,chr12,100660918,1,0,0,1,0,0,1,0,0,,,
1214,SENP1,chr12,48436681,1,0,0,1,0,0,1,0,0,,,
1215,SETD1B,chr12,122242086,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0
1216,SFSWAP,chr12,132195626,1,0,0,1,0,0,1,0,0,,,
1217,SLC11A2,chr12,51373184,1,0,0,0,0,0,0,0,0,,,
1218,SLC15A4,chr12,129277739,0,0,0,0,0,0,0,0,0,,,
1219,SLC16A7,chr12,59989848,1,0,0,1,0,0,1,0,0,,,
1220,SLC2A13,chr12,40148823,0,0,0,0,0,0,0,0,0,,,
1221,SLC38A1,chr12,46576846,1,0,1,0,0,0,0,0,1,,,
1222,SLC38A2,chr12,46751972,1,0,0,1,0,0,1,0,0,,,
1223,SMARCC2,chr12,56556767,1,0,0,1,0,0,1,0,0,,,
1224,SNRPF,chr12,96252706,1,0,0,0,0,0,0,0,0,,,
1225,SP1,chr12,53773960,1,0,0,1,0,0,1,0,0,,,
1226,SPATS2,chr12,49760367,1,0,0,1,0,0,1,0,0,,,
1227,SPRYD3,chr12,53458388,1,0,0,0,0,0,0,0,0,,,
1228,SRGAP1,chr12,64238073,1,0,0,1,0,0,1,0,0,,,
1229,SRSF9,chr12,120899471,1,0,0,1,0,0,1,0,0,,,
1230,SSH1,chr12,109176466,1,0,0,1,0,0,1,0,0,,,
1231,STAT2,chr12,56735381,1,0,0,1,0,0,1,0,0,,,
1232,STK38L,chr12,27396901,1,0,0,1,0,0,1,0,0,,,
1233,STRAP,chr12,16035325,1,0,0,1,0,0,1,0,0,,,
1234,STX2,chr12,131274145,1,0,0,0,0,0,0,0,0,,,
1235,SUDS3,chr12,118814185,1,0,0,1,0,0,1,0,0,,,
1236,TAOK3,chr12,118587606,1,0,0,1,0,0,1,0,0,,,
1237,TARBP2,chr12,53894705,0,0,0,0,0,0,0,0,0,,,
1238,TBC1D15,chr12,72233487,1,0,0,1,0,0,1,0,0,,,
1239,TBK1,chr12,64845660,1,0,0,1,0,0,1,0,0,,,
1240,TBX3,chr12,115108059,0,0,1,0,0,1,0,0,1,,,
1241,TBX5,chr12,114791736,0,0,0,0,0,0,0,0,0,,,
1242,TCHP,chr12,110338069,1,0,0,0,0,0,0,0,0,,,
1243,TCP11L2,chr12,106695707,1,0,0,0,0,0,0,0,0,,,
1244,TFCP2,chr12,51487446,1,0,0,1,0,0,1,0,0,,,
1245,TIMELESS,chr12,56810903,0,0,0,0,0,0,0,0,0,,,
1246,TMPO,chr12,98909290,1,0,0,1,0,0,1,0,0,,,
1247,TMTC3,chr12,88536073,0,0,0,0,0,0,0,0,0,,,
1248,TPCN1,chr12,113658855,0,0,0,0,0,0,0,0,0,,,
1249,TPI1,chr12,6976283,1,0,0,1,0,0,1,0,0,,,
1250,TRAFD1,chr12,112563305,1,0,0,1,0,0,1,0,0,,,
1251,TUBA1C,chr12,49582519,1,0,0,0,0,0,0,0,0,,,
1252,TWF1,chr12,44187526,1,0,0,1,0,0,1,0,0,,,
1253,TXNRD1,chr12,104609557,0,0,0,0,0,0,0,0,0,,,
1254,UBE3B,chr12,109915207,0,0,0,0,0,0,0,0,0,,,
1255,ULK1,chr12,132379196,1,0,0,1,0,0,1,0,0,,,
1256,UNG,chr12,109535379,1,0,0,1,0,0,1,0,0,,,
1257,USP15,chr12,62654119,1,0,0,1,0,0,1,0,0,,,
1258,USP5,chr12,6961292,1,0,0,1,0,0,1,0,0,,,
1259,UTP20,chr12,101673887,1,0,0,1,0,0,1,0,0,,,
1260,VEZT,chr12,95611522,0,0,0,0,0,0,0,0,0,,,
1261,VPS29,chr12,110928902,1,0,0,0,0,0,0,0,0,,,
1262,VPS37B,chr12,123349882,1,0,0,1,0,0,1,0,0,,,
1263,WBP11,chr12,14939410,1,0,0,1,0,0,1,0,0,,,
1264,WNK1,chr12,861759,1,0,0,1,0,0,1,0,0,,,
1265,YAF2,chr12,42550906,1,0,0,1,0,0,1,0,0,,,
1266,YBX3,chr12,10851683,1,0,0,1,0,0,1,0,0,,,
1267,ZCRB1,chr12,42705880,1,0,0,1,0,0,1,0,0,,,
1268,ZFC3H1,chr12,72003252,1,0,0,1,0,0,1,0,0,,,
1269,ZNF384,chr12,6775643,1,0,0,1,0,0,1,0,0,,,
1270,ZNF385A,chr12,54762917,1,0,0,1,0,0,1,0,0,,,
1271,ZNF740,chr12,53574484,1,0,0,1,0,0,1,0,0,,,
1272,ABCC4,chr13,95672083,1,0,0,1,0,0,1,0,0,,,
1273,AKAP11,chr13,42846289,1,0,0,1,0,0,1,0,0,,,
1274,ANKRD10,chr13,111530887,1,0,0,1,0,0,1,0,0,,,
1275,ARGLU1,chr13,107194021,1,0,0,1,0,0,1,0,0,,,
1276,ARHGEF7,chr13,111766906,1,0,0,1,0,0,1,0,0,,,
1277,ATP11A,chr13,113344643,1,0,0,1,0,0,1,0,0,,,
1278,CENPJ,chr13,25457171,1,0,0,1,0,0,1,0,0,,,
1279,CHAMP1,chr13,115079988,1,1,0,1,1,0,1,0,0,,,
1280,COG3,chr13,46039060,1,0,0,1,0,0,1,0,0,,,
1281,CUL4A,chr13,113862552,1,0,0,1,0,0,1,0,0,,,
1282,DCLK1,chr13,36345478,1,0,0,1,0,0,1,0,0,,,
1283,DGKH,chr13,42614176,1,0,0,0,0,0,0,0,0,,,
1284,DIAPH3,chr13,60239717,0,0,0,0,0,0,0,0,0,,,
1285,DNAJC3,chr13,96329393,1,0,0,1,0,0,1,0,0,,,
1286,DOCK9,chr13,99445741,0,0,0,0,0,0,0,0,0,,,
1287,EDNRB,chr13,78469616,0,0,0,0,0,0,0,0,0,,,
1288,ELF1,chr13,41506056,1,0,0,1,0,0,1,0,0,,,
1289,EPSTI1,chr13,43460524,0,0,0,0,0,0,0,0,0,,,
1290,ESD,chr13,47345391,1,0,0,1,0,0,1,0,0,,,
1291,FARP1,chr13,98794816,1,0,0,1,0,0,1,0,0,,,
1292,FBXL3,chr13,77566740,1,0,1,1,0,1,1,0,0,,,
1293,FLT1,chr13,28874489,0,0,0,0,0,0,0,0,0,,,
1294,FNDC3A,chr13,49550048,1,0,0,1,0,0,1,0,0,,,
1295,FOXO1,chr13,41129804,1,0,0,0,0,0,0,0,0,,,
1296,FRY,chr13,32605437,1,0,1,0,0,1,0,0,1,,,
1297,GPALPP1,chr13,45563687,1,0,0,1,0,0,1,0,0,,,
1298,GTF2F2,chr13,45694650,1,0,0,1,0,0,1,0,0,,,
1299,HMGB1,chr13,31032884,1,0,0,1,0,0,1,0,0,,,
1300,HSPH1,chr13,31710762,1,0,0,1,0,0,1,0,0,,,
1301,IFT88,chr13,21140585,1,0,0,0,0,0,0,0,0,,,
1302,IPO5,chr13,98605912,1,0,0,1,0,0,1,0,0,,,
1303,IRS2,chr13,110406184,1,0,0,1,0,0,1,0,0,,,
1304,KCTD12,chr13,77454312,0,0,0,0,0,0,0,0,0,,,
1305,KLF5,chr13,73629114,1,0,0,0,0,0,0,0,0,,,
1306,KPNA3,chr13,50273447,1,0,0,1,0,0,1,0,0,,,
1307,LATS2,chr13,21547171,1,0,0,0,0,0,0,0,0,,,
1308,LRCH1,chr13,47127303,1,0,0,1,0,0,1,0,0,,,
1309,MCF2L,chr13,113548692,1,0,0,1,0,0,1,0,0,,,
1310,MED4,chr13,48627459,0,0,0,0,0,0,0,0,0,,,
1311,MTMR6,chr13,25802307,1,0,0,1,0,0,1,0,0,,,
1312,MYCBP2,chr13,77618792,1,0,0,1,0,0,1,0,0,,,
1313,NEK3,chr13,52706775,1,0,0,1,0,0,1,0,0,,,
1314,NEK5,chr13,52611093,0,0,0,0,0,0,0,0,0,,,
1315,NUFIP1,chr13,45513384,1,0,0,1,0,0,1,0,0,,,
1316,PAN3,chr13,28712643,1,0,0,1,0,0,1,0,0,,,
1317,PARP4,chr13,24995064,1,0,0,1,0,0,1,0,0,,,
1318,PDS5B,chr13,33160564,1,1,0,1,1,0,1,0,0,,,
1319,PIBF1,chr13,73356197,1,0,0,1,0,0,1,0,0,,,
1320,POLR1D,chr13,28194903,1,0,0,1,0,0,1,0,0,,,
1321,PROSER1,chr13,39584003,1,0,0,1,0,0,1,0,0,,,
1322,PSPC1,chr13,20248896,1,0,0,1,0,0,1,0,0,,,
1323,RASA3,chr13,114747194,0,0,0,0,0,0,0,0,0,,,
1324,RB1,chr13,48877887,1,0,0,1,0,0,1,0,0,,,
1325,RBM26,chr13,79885962,1,0,0,1,0,0,1,0,0,,,
1326,RFXAP,chr13,37393361,0,0,0,0,0,0,0,0,0,,,
1327,RGCC,chr13,42031695,0,0,0,0,0,0,0,0,0,,,
1328,RNF219,chr13,79188426,1,0,0,1,0,0,1,0,0,,,
1329,RPL21,chr13,27825446,1,0,0,1,0,0,1,0,0,,,
1330,SACS,chr13,23902965,0,0,0,0,0,0,0,0,0,,,
1331,SLAIN1,chr13,78272023,1,0,0,1,0,0,1,0,0,,,
1332,SPATA13,chr13,24553944,1,0,0,1,0,0,1,0,0,,,
1333,STK24,chr13,99102455,1,0,0,1,0,0,1,0,0,,,
1334,SUCLA2,chr13,48510622,1,0,0,1,0,0,1,0,0,,,
1335,SUGT1,chr13,53226844,1,0,0,1,0,0,1,0,0,,,
1336,SUPT20H,chr13,37583449,0,0,0,0,0,0,0,0,0,,,
1337,TBC1D4,chr13,75858808,1,0,0,1,0,0,1,0,0,,,
1338,TDRD3,chr13,60970591,1,0,0,1,0,0,1,0,0,,,
1339,THSD1,chr13,52951305,0,0,0,0,0,0,0,0,0,,,
1340,TPP2,chr13,103249353,1,0,0,1,0,0,1,0,0,,,
1341,TPT1,chr13,45911008,1,0,0,1,0,0,1,0,0,,,
1342,TRIM13,chr13,50570024,0,0,0,0,0,0,0,0,0,,,
1343,TSC22D1,chr13,45007655,1,0,0,1,0,0,1,0,0,,,
1344,TUBGCP3,chr13,113139325,1,0,0,1,0,0,1,0,0,,,
1345,UCHL3,chr13,76123619,1,0,0,1,0,0,1,0,0,,,
1346,UFM1,chr13,38923986,1,0,0,1,0,0,1,0,0,,,
1347,UGGT2,chr13,96453834,1,0,0,0,0,0,0,0,0,,,
1348,UPF3A,chr13,115047059,1,0,0,1,0,0,1,0,0,,,
1349,WBP4,chr13,41635410,1,1,0,1,1,0,1,0,0,,,
1350,WDFY2,chr13,52158644,0,1,0,0,0,0,0,0,0,,,
1351,XPO4,chr13,21351469,1,0,0,1,0,0,1,0,0,,,
1352,ZC3H13,chr13,46528600,1,0,0,1,0,0,1,0,0,,,
1353,ZDHHC20,chr13,21950263,1,0,0,1,0,0,1,0,0,,,
1354,ZMYM2,chr13,20532810,1,0,0,1,0,0,1,0,0,,,
1355,ACIN1,chr14,23527773,1,0,0,0,0,0,0,0,0,,,
1356,ACTN1,chr14,69340860,0,0,0,0,0,0,0,0,0,,,
1357,ACTR10,chr14,58666798,0,0,0,0,0,0,0,0,0,,,
1358,ADSSL1,chr14,105190523,1,0,0,0,0,0,0,0,0,,,
1359,AHNAK2,chr14,105403581,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1360,AHSA1,chr14,77924213,0,0,0,0,0,0,0,0,0,,,
1361,AJUBA,chr14,23440383,1,0,0,1,0,0,1,0,0,,,
1362,AK7,chr14,96858448,0,0,0,0,0,0,0,0,0,,,
1363,AKAP5,chr14,64932217,0,0,0,0,0,0,0,0,0,,,
1364,AKT1,chr14,105235686,1,0,0,1,0,0,1,0,0,,,
1365,ARF6,chr14,50359810,1,0,0,1,0,0,1,0,0,,,
1366,ARHGAP5,chr14,32545320,1,0,0,1,0,0,1,0,0,,,
1367,ARHGEF40,chr14,21538429,0,0,0,0,0,0,0,0,0,,,
1368,ARID4A,chr14,58765103,1,0,0,1,0,0,1,0,0,,,
1369,ATG2B,chr14,96747595,1,0,0,1,0,0,1,0,0,,,
1370,ATL1,chr14,50999227,1,0,0,1,0,0,1,0,0,,,
1371,ATXN3,chr14,92524896,1,0,0,1,0,0,1,0,0,,,
1372,BAZ1A,chr14,35221937,1,0,0,1,0,0,1,0,0,,,
1373,BCL11B,chr14,99635624,0,0,0,0,0,0,0,0,0,,,
1374,BRF1,chr14,105675623,1,0,0,1,0,0,1,0,0,,,
1375,BRMS1L,chr14,36295524,0,0,0,0,0,0,0,0,0,,,
1376,C14orf93,chr14,23456110,1,0,0,0,0,0,0,0,0,,,
1377,CCDC85C,chr14,99977603,1,0,0,1,0,0,1,0,0,,,
1378,CCDC88C,chr14,91737667,1,0,0,1,0,0,1,0,0,,,
1379,CCNK,chr14,99947506,0,0,0,0,0,0,0,0,0,,,
1380,CDC42BPB,chr14,103398716,1,0,0,1,0,0,1,0,0,,,
1381,CEP128,chr14,80943330,0,0,0,0,0,0,0,0,0,,,
1382,CEP170B,chr14,105331617,1,0,0,1,0,0,1,0,0,,,
1383,CFL2,chr14,35179593,1,0,0,1,0,0,1,0,0,,,
1384,CHMP4A,chr14,24678789,1,0,1,1,0,1,1,0,0,,,
1385,CKB,chr14,103985996,0,0,1,0,0,1,0,0,0,,,
1386,CPSF2,chr14,92588281,1,0,0,1,0,0,1,0,0,,,
1387,CRIP1,chr14,105952654,1,0,1,1,0,1,1,0,1,,,
1388,CRIP2,chr14,105939299,1,0,0,1,0,0,1,0,0,,,
1389,DAAM1,chr14,59655364,1,0,0,1,0,0,1,0,0,,,
1390,DCAF11,chr14,24583404,1,0,0,1,0,0,1,0,0,,,
1391,DCAF5,chr14,69517598,1,0,0,1,0,0,1,0,0,,,
1392,DDHD1,chr14,53510686,0,0,0,0,0,0,0,0,0,,,
1393,DDX24,chr14,94517266,1,0,0,1,0,0,1,0,0,,,
1394,DICER1,chr14,95552565,1,0,0,1,0,0,1,0,0,,,
1395,DLGAP5,chr14,55614830,1,0,0,0,0,0,0,0,0,,,
1396,DNAAF2,chr14,50091892,1,0,0,1,0,0,1,0,0,,,
1397,DNAL1,chr14,74111578,1,0,0,1,0,0,1,0,0,,,
1398,EAPP,chr14,34985135,1,0,0,1,0,0,1,0,0,,,
1399,EFS,chr14,23825611,1,0,1,1,0,1,1,0,0,,,
1400,EIF2B2,chr14,75469614,1,0,1,0,0,1,0,0,0,,,
1401,EIF2S1,chr14,67826714,1,0,0,1,0,0,1,0,0,,,
1402,EIF5,chr14,103799881,1,0,0,1,0,0,1,0,0,,,
1403,ELMSAN1,chr14,74181825,1,0,0,1,0,0,1,0,0,,,
1404,ERH,chr14,69846848,1,0,0,0,0,0,0,0,0,,,
1405,EXD2,chr14,69658228,1,0,0,1,0,0,1,0,0,,,
1406,EXOC5,chr14,57670518,1,0,0,0,0,0,0,0,0,,,
1407,FAM177A1,chr14,35514113,1,0,0,1,0,0,1,0,0,,,
1408,FERMT2,chr14,53323986,1,0,0,1,0,0,1,0,0,,,
1409,FKBP3,chr14,45584803,1,0,0,1,0,0,1,0,0,,,
1410,FOS,chr14,75745477,1,0,0,0,0,0,0,0,0,,,
1411,FOXA1,chr14,38059189,1,0,0,0,0,0,0,0,0,,,
1412,FOXN3,chr14,89591215,0,0,0,0,0,0,0,0,0,,,
1413,FRMD6,chr14,51955818,1,0,0,1,0,0,1,0,0,,,
1414,FUT8,chr14,65877310,1,0,0,1,0,0,1,0,0,,,
1415,GEMIN2,chr14,39583427,1,0,0,1,0,0,1,0,0,,,
1416,GMPR2,chr14,24701628,1,0,0,1,0,0,1,0,0,,,
1417,GOLGA5,chr14,93260576,1,0,0,1,0,0,1,0,0,,,
1418,GPHN,chr14,66974125,1,1,0,1,1,0,1,0,0,,,
1419,GTF2A1,chr14,81641796,1,0,0,1,0,0,1,0,0,,,
1420,HAUS4,chr14,23415437,1,0,0,0,0,0,0,0,0,,,
1421,HEATR5A,chr14,31760994,1,0,0,1,0,0,1,0,0,,,
1422,HNRNPC,chr14,21677295,1,0,0,1,0,0,1,0,0,,,
1423,HOMEZ,chr14,23741666,1,0,0,1,0,0,1,0,0,,,
1424,HSP90AA1,chr14,102547075,1,0,0,1,0,0,1,0,0,,,
1425,IFT43,chr14,76368479,0,0,0,0,0,0,0,0,0,,,
1426,INF2,chr14,105155943,1,0,0,1,0,0,1,0,0,,,
1427,IRF2BPL,chr14,77490888,1,0,0,1,0,0,1,0,0,,,
1428,ISCA2,chr14,74960423,1,0,0,1,0,0,1,0,0,,,
1429,ITPK1,chr14,93403259,1,0,0,1,0,0,1,0,0,,,
1430,JDP2,chr14,75894419,0,0,0,0,0,0,0,0,0,,,
1431,KHNYN,chr14,24898492,1,0,0,1,0,0,1,0,0,,,
1432,KIAA0586,chr14,58894103,1,0,0,0,0,0,0,0,0,,,
1433,KLC1,chr14,104028233,1,0,0,1,0,0,1,0,0,,,
1434,KTN1,chr14,56025790,1,0,1,1,0,0,1,0,0,,,
1435,LIN52,chr14,74551499,1,0,0,0,0,0,0,0,0,,,
1436,LTBP2,chr14,74964873,0,0,0,0,0,0,0,0,0,,,
1437,MAP4K5,chr14,50885219,1,0,0,1,0,0,1,0,0,,,
1438,MAPK1IP1L,chr14,55518349,1,0,0,1,0,0,1,0,0,,,
1439,MARK3,chr14,103851729,1,0,0,1,0,0,1,0,0,,,
1440,MAX,chr14,65472892,1,0,0,1,0,0,1,0,0,,,
1441,METTL3,chr14,21966277,0,0,0,0,0,0,0,0,0,,,
1442,MIPOL1,chr14,37667118,0,0,0,0,0,0,0,0,0,,,
1443,MIS18BP1,chr14,45672393,0,0,0,0,0,0,0,0,0,,,
1444,MPP5,chr14,67707826,1,0,0,1,0,0,1,0,0,,,
1445,MTHFD1,chr14,64854749,1,0,0,1,0,0,1,0,0,,,
1446,NAA30,chr14,57857262,1,0,0,1,0,0,1,0,0,,,
1447,NDRG2,chr14,21484922,0,0,1,0,0,1,0,0,1,,,
1448,NEK9,chr14,75548822,1,0,1,1,0,1,1,0,0,,,
1449,NEMF,chr14,50249997,1,0,0,1,0,0,1,0,0,,,
1450,NFATC4,chr14,24834879,1,0,0,1,0,0,1,0,0,,,
1451,NID2,chr14,52471521,1,0,0,0,0,0,0,0,0,,,
1452,NIN,chr14,51186481,1,0,0,0,0,0,0,0,0,,,
1453,NKX2-1,chr14,36985602,0,0,0,0,0,0,0,0,0,,,
1454,NOP9,chr14,24769068,0,0,0,0,0,0,0,0,0,,,
1455,NUMB,chr14,73741815,1,0,0,1,0,0,1,0,0,,,
1456,PABPN1,chr14,23790498,1,0,0,1,0,0,1,0,0,,,
1457,PACS2,chr14,105766900,1,0,0,1,0,0,1,0,0,,,
1458,PAPOLA,chr14,96967770,1,0,0,1,0,0,1,0,0,,,
1459,PCK2,chr14,24563262,1,0,0,1,0,0,1,0,0,,,
1460,PLEKHG3,chr14,65170820,1,0,1,1,0,1,1,0,1,,,
1461,PNN,chr14,39644387,0,0,0,0,0,0,0,0,0,,,
1462,POMT2,chr14,77741299,1,0,0,1,0,0,1,0,0,,,
1463,PPM1A,chr14,60712470,1,0,0,1,0,0,1,0,0,,,
1464,PPP1R13B,chr14,104200089,1,0,0,1,0,0,1,0,0,,,
1465,PPP2R5C,chr14,102228135,1,0,0,0,0,0,0,0,0,,,
1466,PPP2R5E,chr14,63838075,1,0,0,1,0,0,1,0,0,,,
1467,PPP4R4,chr14,94612465,0,0,0,0,0,0,0,0,0,,,
1468,PRKCH,chr14,61654277,0,0,0,0,0,0,0,0,0,,,
1469,PRKD1,chr14,30045687,0,0,0,0,0,0,0,0,0,,,
1470,PSEN1,chr14,73603126,0,0,0,0,0,0,0,0,0,,,
1471,PSMC1,chr14,90722839,1,0,0,0,0,0,0,0,0,,,
1472,PSME1,chr14,24605367,1,0,0,1,0,0,1,0,0,,,
1473,PSME2,chr14,24612574,1,0,0,1,0,0,1,0,0,,,
1474,PTGR2,chr14,74318547,1,0,0,1,0,0,1,0,0,,,
1475,PTPN21,chr14,88932122,0,0,0,0,0,0,0,0,0,,,
1476,PYGL,chr14,51324609,0,0,0,0,0,0,0,0,0,,,
1477,RAB2B,chr14,21927179,0,0,0,0,0,0,0,0,0,,,
1478,RABGGTA,chr14,24734744,1,0,0,0,0,0,0,0,0,,,
1479,RALGAPA1,chr14,36007558,1,0,0,1,0,0,1,0,0,,,
1480,RBM23,chr14,23369854,1,0,0,1,0,0,1,0,0,,,
1481,RBM25,chr14,73525144,1,0,0,0,0,0,0,0,0,,,
1482,RCOR1,chr14,103058998,1,0,0,1,0,0,1,0,0,,,
1483,RIN3,chr14,92980118,0,0,0,0,0,0,0,0,0,,,
1484,RIPK3,chr14,24805227,1,0,1,1,0,0,0,0,0,,,
1485,RNF31,chr14,24615892,1,0,0,1,0,0,1,0,0,,,
1486,RPS6KA5,chr14,91336799,1,0,0,1,0,0,1,0,0,,,
1487,RTN1,chr14,60062694,1,0,0,1,0,0,1,0,0,,,
1488,SAV1,chr14,51098776,1,0,0,1,0,0,1,0,0,,,
1489,SEC23A,chr14,39501123,1,0,0,1,0,0,1,0,0,,,
1490,SEL1L,chr14,81937893,0,0,0,0,0,0,0,0,0,,,
1491,SETD3,chr14,99864083,1,0,0,1,0,0,1,0,0,,,
1492,SGPP1,chr14,64150932,1,0,0,1,0,0,1,0,0,,,
1493,SIPA1L1,chr14,71787166,1,0,0,1,0,0,1,0,0,,,
1494,SLC7A7,chr14,23242431,0,0,0,0,0,0,0,0,0,,,
1495,SLIRP,chr14,78174414,1,0,0,0,0,0,0,0,0,,,
1496,SNW1,chr14,78183942,1,0,0,1,0,0,1,0,0,,,
1497,SNX6,chr14,35030300,1,0,0,0,0,0,0,0,0,,,
1498,SOS2,chr14,50583847,1,0,0,1,0,0,1,0,0,,,
1499,SRP54,chr14,35451163,1,0,0,0,0,0,0,0,0,,,
1500,SRSF5,chr14,70193617,1,0,0,1,0,0,1,0,0,,,
1501,STRN3,chr14,31363005,1,0,0,1,0,0,1,0,0,,,
1502,STYX,chr14,53196898,1,0,0,0,0,0,0,0,0,,,
1503,SUPT16H,chr14,21819631,1,0,0,1,0,0,1,0,0,,,
1504,SYNE2,chr14,64319683,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0
1505,TC2N,chr14,92246095,1,0,0,1,0,0,1,0,0,,,
1506,TDP1,chr14,90421283,1,0,0,1,0,0,1,0,0,,,
1507,TECPR2,chr14,102829300,1,0,0,1,0,0,1,0,0,,,
1508,TEP1,chr14,20833826,1,0,0,1,0,0,0,0,0,,,
1509,TINF2,chr14,24708849,1,0,0,1,0,0,1,0,0,,,
1510,TM9SF1,chr14,24658349,1,0,0,1,0,0,1,0,0,,,
1511,TMED8,chr14,77801364,1,0,0,1,0,0,1,0,0,,,
1512,TMX1,chr14,51706880,1,0,0,1,0,0,1,0,0,,,
1513,TOX4,chr14,21944756,1,0,0,1,0,0,1,0,0,,,
1514,TRIP11,chr14,92432335,1,0,0,1,0,0,1,0,0,,,
